Object,Name,Has Logo,Has Description,Has Image,Has Products,Has Filter,Filter Works,Has Website,Website Works
country,USA,True,True,True
country,Deutschland,True,True,True
country,Italien,True,True,True
country,Spanien,True,True,True
country,Schweiz,True,True,True
country,Frankreich,True,True,True
country,Österreich,True,True,True
country,Kroatien,True,True,True
country,Slowenien,True,True,True
country,Japan,True,True,True
country,Chile,True,True,True
region,USA/Kalifornien,True,True,True
region,USA/Oregon,True,True,True
region,Deutschland/Rheinland-Pfalz / Saarland,True,True,True
region,Deutschland/Hessen,True,True,True
region,Italien/Piemonte,True,True,True
region,Italien/Veneto,True,True,True
region,Italien/Friuli,True,True,True
region,Italien/Alto Adige,True,True,True
region,Italien/Lombardia,True,True,True
region,Italien/Toscana,True,True,True
region,Italien/Campania,True,True,True
region,Italien/Puglia,True,True,True
region,Italien/Sicilia,True,True,True
region,Italien/Sardegna,True,True,True
region,Italien/Trentino,True,True,True
region,Spanien/Katalonien,True,True,True
region,Spanien/Kastilien-León,True,True,True
region,Spanien/La Rioja,True,True,True
region,Schweiz/Zentralschweiz,True,True,True
region,Schweiz/Ostschweiz,True,True,True
region,Schweiz/Westschweiz,True,True,True
region,Schweiz/Südschweiz,True,True,True
region,Frankreich/Bordeaux,True,True,True
region,Frankreich/Südfrankreich,True,True,True
region,Frankreich/Burgund,True,True,True
region,Frankreich/Champagne,True,True,True
region,Frankreich/Cognac,True,True,True
region,Frankreich/Gascogne,True,True,True
region,Österreich/Tirol,True,True,True
region,Österreich/Steiermark,True,True,True
region,Österreich/Burgenland,True,True,True
region,Kroatien/Istrien,True,True,True
region,Slowenien/Primorska - Adria-Küstenland,True,True,True
region,Japan/Chubu,True,True,True
region,Chile/Valle de Aconcagua,True,True,True
region,Chile/Valle del Huasco,True,True,True
region,Chile/Valle de Colchagua,True,True,True
partner,USA/Kalifornien/The Alpha Omega Collective,True,True,True,True,True,True,True,True
partner,USA/Kalifornien/Mount Brave,True,True,True,True,True,False,True,True
